km_cluster,crop_code,median_yield_kg_per_ha,avg_yield_kg_per_ha,n_obs,crop_pop_median,relative_yield_index
4,RICE,2594.911376953125,15026.689490276834,23,4884.53857421875,0.531250053106227
4,SORGHUM,152.64183044433594,5199.175676981608,12,1397.6207885742188,0.10921548369357995
4,SOYABEAN,2727.4268798828125,6940.254854152077,38,2900.19482421875,0.9404288488162248
4,SWEET POTATO,3291.2579345703125,5102.219496925672,12,4579.25537109375,0.7187321229879782
4,Sesame,3174.9501953125,3174.9501953125,1,555.6162719726562,5.714285839830029
4,TEA,71.14806365966797,71.14806365966797,1,1068.4927978515625,0.06658731233633643
4,TOBACCO,1526.4183349609375,1999.6079833984375,5,3968.687744140625,0.38461537751730235
4,TOMATO,1632.6461181640625,1632.6461181640625,2,3847.7955322265625,0.4243068802617266
4,WHEAT,0.0,0.0,1,0.0,
5,AVOCADO,934.5418701171875,934.5418701171875,2,726.1111259460449,1.2870507512188023
5,BANANA,477.0057373046875,5693.651387728178,13,3443.599853515625,0.13851950214764497
5,BEANS,3062.7890625,22175.384975996883,176,3261.956298828125,0.9389423958868863
5,CABBAGE,2289.627685546875,13010.37647705078,5,8989.87109375,0.25468971264100615
5,CASSAVA,3815.503173828125,26704.983292925604,258,3831.92041015625,0.9957156635391977
5,COTTON,274.7553024291992,1686.4379081726074,8,992.1719360351562,0.27692307396554267
5,COW PEAS (KHOBWE),366.34039306640625,4488.684790420532,75,1221.1346435546875,0.3
5,Cucumber,31749.501953125,31749.501953125,2,186.90838623046875,169.86665282089615
5,FINGER MILLET(MAWERE),3663.40380859375,5169.406352539063,25,2165.478759765625,1.6917292732948574
5,GREEN PEA (NSAWAWA),820.7062911987305,868.278621673584,4,869.8141479492188,0.9435421269402539
5,GROUND BEAN(NZAMA),1312.7197265625,4843.205654259884,33,2442.269287109375,0.5374999937522086
5,GROUNDNUT/PEANUTS,1831.701904296875,24130.12130494895,681,2442.269287109375,0.7499999750088344
5,IRISH [MALAWI] POTATO,6030.37060546875,26935.05098639594,18,7113.109375,0.8477826345062703
5,MAIZE,2442.269287109375,21011.198303625006,2407,3052.836669921875,0.7999999840056543
5,NKHWANI,1526.4183349609375,24032.5849486436,101,1602.7392578125,0.9523809487541166
5,ONION,3149.306396484375,3149.306396484375,1,7494.7138671875,0.42020368653062373
5,"OTHER, PERMANENT CROP (SPECIFY)",610.5673217773438,610.5673217773438,2,897.7661437988281,0.6800961764873147
5,"OTHER, TEMPORARY CROP (SPECIFY)",152.64183044433594,4499.574890136719,11,1623.1322021484375,0.09404152677292311
5,PEARL MILLET(MCHEWERE),396.8687744140625,3833.731165675794,59,1113.1102294921875,0.35654040713929847
5,PIGEONPEA(NANDOLO),1703.48291015625,15230.600874677202,397,2442.269287109375,0.6975000337380736
5,RICE,3960.384033203125,28867.307259347042,240,4884.53857421875,0.8108000321886213
5,SORGHUM,934.3053894042969,11533.066542619954,142,1397.6207885742188,0.6684970608926242
5,SOYABEAN,1899.54296875,17318.389644330273,445,2900.19482421875,0.6549708153698591
5,SUGAR CANE,2271.6157836914062,2646.9620666503906,4,2170.90625,1.0463905494267227
5,SUNFLOWER,1786.5201416015625,3441.209744660751,23,1980.9323120117188,0.9018582466289711
5,SWEET POTATO,2224.9345703125,13346.849837493897,120,4579.25537109375,0.4858725687930081
5,Sesame,793.737548828125,2481.719049181257,21,555.6162719726562,1.4285714599575072
5,TANAPOSI,0.0,0.0,1,3663.40380859375,0.0
5,TEA,2671.232177734375,16520.57021658761,7,1068.4927978515625,2.5000001713679953
5,THERERE/OKRA,0.0,8518.851643880209,6,1114.9879150390625,0.0
5,TOBACCO,3784.1971435546875,9868.286724567413,32,3968.687744140625,0.9535134501679252
5,TOMATO,0.0,2180.234171549479,6,3847.7955322265625,0.0
5,WHEAT,1114.9879150390625,772.8257242838541,3,0.0,inf
6,AVOCADO,3137.079345703125,6372.176242457799,7,726.1111259460449,4.320384626548515
6,BANANA,1530.4888916015625,12066.384314643012,27,3443.599853515625,0.44444446413803346
6,BEANS,4267.4307861328125,41313.82674437795,358,3261.956298828125,1.3082427829170824
6,CABBAGE,5953.031494140625,64561.553003183995,78,8989.87109375,0.6621931985520162
6,CASSAVA,8478.3994140625,31382.95566740903,220,3831.92041015625,2.2125718977855247
6,COFFEE,22896.275390625,22896.275390625,1,5220.3505859375,4.38596508293957
6,COTTON,1422.3778076171875,6030.309589385986,5,992.1719360351562,1.4336001210648912
6,COW PEAS (KHOBWE),1953.8155517578125,22046.29755613777,89,1221.1346435546875,1.6000000999646624
