HHID,plotid,gardenid,crop_code,plotareaHA,harvest_Qua_per_crop,km_cluster,yield_kg_per_ha
003A1A4C57B54284B6DECFB3EB5ED8A0,1,2,MAIZE,0.8094,2162.0952,1,2671.23193359375
003A1A4C57B54284B6DECFB3EB5ED8A0,1,2,MAIZE,0.8094,2162.0952,1,2671.23193359375
003A1A4C57B54284B6DECFB3EB5ED8A0,1,2,MAIZE,0.8094,2162.0952,1,2671.23193359375
003A1A4C57B54284B6DECFB3EB5ED8A0,1,1,MAIZE,0.303525,5765.588,1,18995.4296875
003C4C7D4F5C480DB78DB7B1C99AD806,2,1,NKHWANI,0.04047,574.49963,0,14195.69140625
003C4C7D4F5C480DB78DB7B1C99AD806,1,1,MAIZE,0.04047,2470.966,0,61056.734375
003C4C7D4F5C480DB78DB7B1C99AD806,1,1,GROUNDNUT/PEANUTS,0.04047,0.0,0,0.0
003C4C7D4F5C480DB78DB7B1C99AD806,1,1,GROUNDNUT/PEANUTS,0.04047,0.0,0,0.0
003C9954F3464463BDB1572CA0EE9609,1,3,GROUNDNUT/PEANUTS,0.4047,31.134174,0,76.93148803710938
003C9954F3464463BDB1572CA0EE9609,1,1,NKHWANI,0.101175,2298.4927,0,22717.990234375
003C9954F3464463BDB1572CA0EE9609,1,1,BEANS,0.101175,96.96894,0,958.4278564453125
003C9954F3464463BDB1572CA0EE9609,1,1,BEANS,0.20235,98.838646,0,488.4538879394531
003C9954F3464463BDB1572CA0EE9609,1,1,BEANS,0.101175,197.67729,0,1953.8155517578125
003C9954F3464463BDB1572CA0EE9609,1,2,MAIZE,0.20235,1149.2463,0,5679.49755859375
0041EC35BD294243B9CE9817E87BD9D4,1,1,MAIZE,0.8094,778.3543,2,961.6435546875
0041EC35BD294243B9CE9817E87BD9D4,1,1,MAIZE,0.8094,778.3543,2,961.6435546875
0046CF3DFDD3497FA7F846F784D32286,1,1,GROUNDNUT/PEANUTS,0.4047,90.93155,0,224.6887664794922
0046CF3DFDD3497FA7F846F784D32286,1,3,MAIZE,0.60705,60.621037,0,99.86168670654297
0046CF3DFDD3497FA7F846F784D32286,1,2,GROUNDNUT/PEANUTS,0.8094,436.81247,0,539.6743774414062
00496180B5FB466E9F0D9012E6FC2FDB,1,1,MAIZE,0.4047,6053.8667,6,14958.8994140625
00496180B5FB466E9F0D9012E6FC2FDB,1,2,MAIZE,0.4047,6053.8667,6,14958.8994140625
004B930CAC8443CA8C42CCB57182762B,2,1,MAIZE,0.8094,30.887075,6,38.160457611083984
004B930CAC8443CA8C42CCB57182762B,2,1,GROUNDNUT/PEANUTS,0.8094,24.709661,6,30.52836799621582
004B930CAC8443CA8C42CCB57182762B,1,1,PIGEONPEA(NANDOLO),0.8094,432.41907,6,534.2463989257812
004B930CAC8443CA8C42CCB57182762B,2,1,GROUND BEAN(NZAMA),0.8094,12.354831,6,15.26418399810791
0054B564A2574DAFA31105010367728D,1,1,MAIZE,0.20235,1235.483,0,6105.67333984375
0055520C09804AE48EBD1DAD8DE392A9,1,1,MAIZE,0.4047,988.3864,0,2442.269287109375
0055520C09804AE48EBD1DAD8DE392A9,1,2,SOYABEAN,0.60705,494.19324,0,814.08984375
0055520C09804AE48EBD1DAD8DE392A9,1,3,TOBACCO,0.4047,7412.8984,0,18317.021484375
0058B5769877449C87E00938213A8B32,1,1,MAIZE,0.4047,1308.8707,5,3234.17529296875
0058B5769877449C87E00938213A8B32,2,1,GROUNDNUT/PEANUTS,0.20235,404.74426,5,2000.2186279296875
005A0B4E61B6426DB9952C804FBA6F71,1,3,MAIZE,0.101175,0.0,2,0.0
005A0B4E61B6426DB9952C804FBA6F71,1,3,MAIZE,0.044998594,17111.646,2,380270.6875
005A0B4E61B6426DB9952C804FBA6F71,1,1,RICE,0.101175,0.0,2,0.0
005A0B4E61B6426DB9952C804FBA6F71,1,2,PIGEONPEA(NANDOLO),0.101175,0.0,2,0.0
0060CB84F17344C69F9F2AD91178A02F,1,1,SOYABEAN,0.16188,617.7415,6,3816.0458984375
0060CB84F17344C69F9F2AD91178A02F,1,1,PIGEONPEA(NANDOLO),0.16188,4941.932,6,30528.3671875
0060CB84F17344C69F9F2AD91178A02F,1,1,SOYABEAN,0.16188,617.7415,6,3816.0458984375
0060CB84F17344C69F9F2AD91178A02F,2,1,MAIZE,0.04047,892.01874,6,22041.48046875
0061C81036BC48DD9BD5910888C12D1B,1,1,RICE,0.04047,4166.049,5,102941.65625
0061C81036BC48DD9BD5910888C12D1B,1,1,RICE,0.04047,4166.049,5,102941.65625
006308CF3D8040C19E402318C0B83A58,2,1,MAIZE,0.04047,44795.406,0,763209.1875
006308CF3D8040C19E402318C0B83A58,1,3,MAIZE,0.04047,44795.406,0,763209.1875
006308CF3D8040C19E402318C0B83A58,2,2,MAIZE,0.04047,44795.406,0,763209.1875
006308CF3D8040C19E402318C0B83A58,1,3,MAIZE,0.60705,2986.3604,0,4919.46337890625
006A7D7F4D564E01AFC9B74DE5C6A832,2,1,MAIZE,0.20235,811.765,5,4011.687744140625
006A7D7F4D564E01AFC9B74DE5C6A832,1,1,PIGEONPEA(NANDOLO),0.20235,2223.8694,5,10990.2119140625
006A7D7F4D564E01AFC9B74DE5C6A832,1,1,PIGEONPEA(NANDOLO),0.20235,2223.8694,5,10990.2119140625
006FE1A1ABAD443C979EF8E692EB9467,1,2,RICE,0.4047,123.5483,2,305.2836608886719
006FE1A1ABAD443C979EF8E692EB9467,1,2,PIGEONPEA(NANDOLO),0.20235,1314.554,2,6496.4365234375
006FE1A1ABAD443C979EF8E692EB9467,1,1,MAIZE,0.4047,494.1932,2,1221.1346435546875
0070DEA6D0D447E0B2A95D5CE1A59C82,2,1,MAIZE,0.32376,772.17694,2,2385.02880859375
0070DEA6D0D447E0B2A95D5CE1A59C82,1,1,BEANS,0.08094,0.0,2,0.0
0071969CD7434DE9BF6D935433EF6E9A,1,2,Sesame,0.101175,727.8478,2,7193.94873046875
0071969CD7434DE9BF6D935433EF6E9A,1,2,Sesame,0.101175,727.8478,2,7193.94873046875
0071969CD7434DE9BF6D935433EF6E9A,1,1,MAIZE,0.101175,0.0,2,0.0
0071969CD7434DE9BF6D935433EF6E9A,1,2,Sesame,0.101175,727.8478,2,7193.94873046875
0071969CD7434DE9BF6D935433EF6E9A,1,2,Sesame,0.101175,727.8478,2,7193.94873046875
0071969CD7434DE9BF6D935433EF6E9A,1,2,Sesame,0.101175,727.8478,2,7193.94873046875
0071969CD7434DE9BF6D935433EF6E9A,1,2,Sesame,0.101175,727.8478,2,7193.94873046875
0078BCAB92C8483AA509636EB861ABE9,1,2,MAIZE,0.8094,0.0,0,0.0
0078BCAB92C8483AA509636EB861ABE9,1,1,CASSAVA,0.60705,181.96194,0,299.74786376953125
0078BCAB92C8483AA509636EB861ABE9,1,2,MAIZE,0.8094,136.47145,0,168.60816955566406
007C7AD57A2C4A8B94F025C4E64D08EA,1,1,MAIZE,0.4047,123.5483,0,305.2836608886719
007C7AD57A2C4A8B94F025C4E64D08EA,1,1,MAIZE,0.4047,123.5483,0,305.2836608886719
007CAC128AB74C0E9BBB974B33F7A0F2,1,1,MAIZE,0.8094,555.96735,0,686.8882446289062
